amount,base_currency,date,currency,exchange_rate
1.0,USD,2026-03-31,AUD,1.4518
1.0,USD,2026-03-31,BRL,5.224
1.0,USD,2026-03-31,CAD,1.3935
1.0,USD,2026-03-31,CHF,0.79962
1.0,USD,2026-03-31,CNY,6.9004
1.0,USD,2026-03-31,CZK,21.32
1.0,USD,2026-03-31,DKK,6.4994
1.0,USD,2026-03-31,EUR,0.86972
1.0,USD,2026-03-31,GBP,0.7552
1.0,USD,2026-03-31,HKD,7.8393
1.0,USD,2026-03-31,HUF,334.74
1.0,USD,2026-03-31,IDR,16965.0
1.0,USD,2026-03-31,ILS,3.164
1.0,USD,2026-03-31,INR,93.83
1.0,USD,2026-03-31,ISK,124.89
1.0,USD,2026-03-31,JPY,159.5
1.0,USD,2026-03-31,KRW,1524.8
1.0,USD,2026-03-31,MXN,18.0118
1.0,USD,2026-03-31,MYR,4.049
1.0,USD,2026-03-31,NOK,9.7517
1.0,USD,2026-03-31,NZD,1.7447
1.0,USD,2026-03-31,PHP,60.689
1.0,USD,2026-03-31,PLN,3.7302
1.0,USD,2026-03-31,RON,4.4348
1.0,USD,2026-03-31,SEK,9.5173
1.0,USD,2026-03-31,SGD,1.2881
1.0,USD,2026-03-31,THB,32.76
1.0,USD,2026-03-31,TRY,44.48
1.0,USD,2026-03-31,ZAR,17.07
