amount,base_currency,date,currency,exchange_rate
1.0,USD,2026-03-10,AUD,1.4049
1.0,USD,2026-03-10,BRL,5.1779
1.0,USD,2026-03-10,CNY,6.8772
1.0,USD,2026-03-10,CZK,20.943
1.0,USD,2026-03-10,DKK,6.4181
1.0,USD,2026-03-10,EUR,0.85903
1.0,USD,2026-03-10,GBP,0.74345
1.0,USD,2026-03-10,HKD,7.8236
1.0,USD,2026-03-10,HUF,331.44
1.0,USD,2026-03-10,IDR,16866.0
1.0,USD,2026-03-10,ILS,3.0893
1.0,USD,2026-03-10,INR,91.96
1.0,USD,2026-03-10,ISK,124.46
1.0,USD,2026-03-10,JPY,157.78
1.0,USD,2026-03-10,KRW,1470.12
1.0,USD,2026-03-10,MXN,17.5595
1.0,USD,2026-03-10,MYR,3.925
1.0,USD,2026-03-10,NOK,9.5756
1.0,USD,2026-03-10,NZD,1.6834
1.0,USD,2026-03-10,PHP,59.018
1.0,USD,2026-03-10,PLN,3.655
1.0,USD,2026-03-10,RON,4.3756
1.0,USD,2026-03-10,SEK,9.1109
1.0,USD,2026-03-10,SGD,1.2722
1.0,USD,2026-03-10,THB,31.625
1.0,USD,2026-03-10,TRY,44.045
1.0,USD,2026-03-10,ZAR,16.2888
