date,base_currency,currency,exchange_rate,error_reason
1999-12-30,USD,AUD,1.5351,Date is not in the correct range.
1999-12-30,USD,CAD,1.4541,Date is not in the correct range.
1999-12-30,USD,CHF,1.5978,Date is not in the correct range.
1999-12-30,USD,CYP,0.57403,Date is not in the correct range.
1999-12-30,USD,CZK,35.938,Date is not in the correct range.
1999-12-30,USD,DKK,7.4092,Date is not in the correct range.
1999-12-30,USD,EEK,15.575,Date is not in the correct range.
1999-12-30,USD,EUR,0.99542,Date is not in the correct range.
1999-12-30,USD,GBP,0.61885,Date is not in the correct range.
1999-12-30,USD,HKD,7.7676,Date is not in the correct range.
1999-12-30,USD,HUF,253.53,Date is not in the correct range.
1999-12-30,USD,ISK,72.497,Date is not in the correct range.
1999-12-30,USD,JPY,102.26,Date is not in the correct range.
1999-12-30,USD,KRW,1132.07,Date is not in the correct range.
1999-12-30,USD,LTL,3.9985,Date is not in the correct range.
1999-12-30,USD,LVL,0.58541,Date is not in the correct range.
1999-12-30,USD,MTL,0.4132,Date is not in the correct range.
1999-12-30,USD,NOK,8.0395,Date is not in the correct range.
1999-12-30,USD,NZD,1.9268,Date is not in the correct range.
1999-12-30,USD,PLN,4.1397,Date is not in the correct range.
1999-12-30,USD,ROL,18261.0,Date is not in the correct range.
1999-12-30,USD,SEK,8.5233,Date is not in the correct range.
1999-12-30,USD,SGD,1.6641,Date is not in the correct range.
1999-12-30,USD,SIT,198.0,Date is not in the correct range.
1999-12-30,USD,SKK,42.208,Date is not in the correct range.
1999-12-30,USD,TRL,542147.0,Date is not in the correct range.
1999-12-30,USD,ZAR,6.1587,Date is not in the correct range.
