amount,base_currency,date,currency,exchange_rate
1.0,USD,2000-04-28,AUD,1.7118
1.0,USD,2000-04-28,CAD,1.4812
1.0,USD,2000-04-28,CHF,1.7292
1.0,USD,2000-04-28,CYP,0.63104
1.0,USD,2000-04-28,CZK,39.982
1.0,USD,2000-04-28,DKK,8.2059
1.0,USD,2000-04-28,EEK,17.2225
1.0,USD,2000-04-28,EUR,1.1007
1.0,USD,2000-04-28,GBP,0.63775
1.0,USD,2000-04-28,HKD,7.7794
1.0,USD,2000-04-28,HUF,284.48
1.0,USD,2000-04-28,ISK,75.476
1.0,USD,2000-04-28,JPY,107.3
1.0,USD,2000-04-28,KRW,1108.35
1.0,USD,2000-04-28,LTL,3.9958
1.0,USD,2000-04-28,LVL,0.60011
1.0,USD,2000-04-28,MTL,0.43841
1.0,USD,2000-04-28,NOK,8.9681
1.0,USD,2000-04-28,NZD,2.062
1.0,USD,2000-04-28,PLN,4.4697
1.0,USD,2000-04-28,ROL,20076.0
1.0,USD,2000-04-28,SEK,8.9598
1.0,USD,2000-04-28,SGD,1.7041
1.0,USD,2000-04-28,SIT,224.76
1.0,USD,2000-04-28,SKK,45.761
1.0,USD,2000-04-28,TRL,609912.0
1.0,USD,2000-04-28,ZAR,6.8487
