amount,base_currency,date,currency,exchange_rate
1.0,USD,2004-05-12,AUD,1.4317
1.0,USD,2004-05-12,BGN,1.6413
1.0,USD,2004-05-12,CAD,1.3891
1.0,USD,2004-05-12,CHF,1.2997
1.0,USD,2004-05-12,CYP,0.49439
1.0,USD,2004-05-12,CZK,27.071
1.0,USD,2004-05-12,DKK,6.276
1.0,USD,2004-05-12,EEK,13.1961
1.0,USD,2004-05-12,EUR,0.84338
1.0,USD,2004-05-12,GBP,0.56481
1.0,USD,2004-05-12,HKD,7.7999
1.0,USD,2004-05-12,HUF,214.68
1.0,USD,2004-05-12,ISK,74.243
1.0,USD,2004-05-12,JPY,113.17
1.0,USD,2004-05-12,KRW,1181.5
1.0,USD,2004-05-12,LTL,2.912
1.0,USD,2004-05-12,LVL,0.55157
1.0,USD,2004-05-12,MTL,0.35869
1.0,USD,2004-05-12,NOK,6.917
1.0,USD,2004-05-12,NZD,1.6338
1.0,USD,2004-05-12,PLN,4.0207
1.0,USD,2004-05-12,ROL,34133.0
1.0,USD,2004-05-12,SEK,7.7337
1.0,USD,2004-05-12,SGD,1.715
1.0,USD,2004-05-12,SIT,201.34
1.0,USD,2004-05-12,SKK,33.939
1.0,USD,2004-05-12,TRL,1527199.0
1.0,USD,2004-05-12,ZAR,6.8391
