amount,base_currency,date,currency,exchange_rate
1.0,USD,2006-01-03,AUD,1.3596
1.0,USD,2006-01-03,BGN,1.6471
1.0,USD,2006-01-03,CAD,1.1629
1.0,USD,2006-01-03,CHF,1.3082
1.0,USD,2006-01-03,CNY,8.0702
1.0,USD,2006-01-03,CYP,0.48303
1.0,USD,2006-01-03,CZK,24.405
1.0,USD,2006-01-03,DKK,6.2839
1.0,USD,2006-01-03,EEK,13.1761
1.0,USD,2006-01-03,EUR,0.84211
1.0,USD,2006-01-03,GBP,0.57874
1.0,USD,2006-01-03,HKD,7.7542
1.0,USD,2006-01-03,HRK,6.2189
1.0,USD,2006-01-03,HUF,211.76
1.0,USD,2006-01-03,IDR,9725.0
1.0,USD,2006-01-03,ISK,62.653
1.0,USD,2006-01-03,JPY,117.43
1.0,USD,2006-01-03,KRW,1005.45
1.0,USD,2006-01-03,LTL,2.9076
1.0,USD,2006-01-03,LVL,0.58619
1.0,USD,2006-01-03,MTL,0.36152
1.0,USD,2006-01-03,MYR,3.778
1.0,USD,2006-01-03,NOK,6.7044
1.0,USD,2006-01-03,NZD,1.4675
1.0,USD,2006-01-03,PHP,52.585
1.0,USD,2006-01-03,PLN,3.2358
1.0,USD,2006-01-03,RON,3.092
1.0,USD,2006-01-03,RUB,28.749
1.0,USD,2006-01-03,SEK,7.8779
1.0,USD,2006-01-03,SGD,1.6541
1.0,USD,2006-01-03,SIT,201.68
1.0,USD,2006-01-03,SKK,31.752
1.0,USD,2006-01-03,THB,40.832
1.0,USD,2006-01-03,TRY,1.3482
1.0,USD,2006-01-03,ZAR,6.2983
