amount,base_currency,date,currency,exchange_rate
1.0,USD,2009-08-18,AUD,1.2138
1.0,USD,2009-08-18,BGN,1.387
1.0,USD,2009-08-18,BRL,1.8638
1.0,USD,2009-08-18,CAD,1.1067
1.0,USD,2009-08-18,CHF,1.0784
1.0,USD,2009-08-18,CNY,6.8339
1.0,USD,2009-08-18,CZK,18.132
1.0,USD,2009-08-18,DKK,5.2786
1.0,USD,2009-08-18,EEK,11.0961
1.0,USD,2009-08-18,EUR,0.70917
1.0,USD,2009-08-18,GBP,0.60747
1.0,USD,2009-08-18,HKD,7.7514
1.0,USD,2009-08-18,HRK,5.1835
1.0,USD,2009-08-18,HUF,193.36
1.0,USD,2009-08-18,IDR,10023.0
1.0,USD,2009-08-18,INR,48.795
1.0,USD,2009-08-18,JPY,95.11
1.0,USD,2009-08-18,KRW,1249.9
1.0,USD,2009-08-18,LTL,2.4486
1.0,USD,2009-08-18,LVL,0.49656
1.0,USD,2009-08-18,MXN,12.94
1.0,USD,2009-08-18,MYR,3.5375
1.0,USD,2009-08-18,NOK,6.151
1.0,USD,2009-08-18,NZD,1.4882
1.0,USD,2009-08-18,PHP,48.257
1.0,USD,2009-08-18,PLN,2.9533
1.0,USD,2009-08-18,RON,2.9918
1.0,USD,2009-08-18,RUB,31.987
1.0,USD,2009-08-18,SEK,7.2601
1.0,USD,2009-08-18,SGD,1.4503
1.0,USD,2009-08-18,THB,34.055
1.0,USD,2009-08-18,TRY,1.4976
1.0,USD,2009-08-18,ZAR,8.0455
