amount,base_currency,date,currency,exchange_rate
1.0,USD,2014-10-17,AUD,1.1383
1.0,USD,2014-10-17,BGN,1.5252
1.0,USD,2014-10-17,BRL,2.4558
1.0,USD,2014-10-17,CAD,1.1242
1.0,USD,2014-10-17,CHF,0.94159
1.0,USD,2014-10-17,CNY,6.1254
1.0,USD,2014-10-17,CZK,21.44
1.0,USD,2014-10-17,DKK,5.8068
1.0,USD,2014-10-17,EUR,0.77985
1.0,USD,2014-10-17,GBP,0.62037
1.0,USD,2014-10-17,HKD,7.7578
1.0,USD,2014-10-17,HRK,5.9775
1.0,USD,2014-10-17,HUF,239.73
1.0,USD,2014-10-17,IDR,12089.0
1.0,USD,2014-10-17,ILS,3.711
1.0,USD,2014-10-17,INR,61.43
1.0,USD,2014-10-17,JPY,106.41
1.0,USD,2014-10-17,KRW,1062.31
1.0,USD,2014-10-17,LTL,2.6927
1.0,USD,2014-10-17,MXN,13.502
1.0,USD,2014-10-17,MYR,3.2721
1.0,USD,2014-10-17,NOK,6.5363
1.0,USD,2014-10-17,NZD,1.2587
1.0,USD,2014-10-17,PHP,44.851
1.0,USD,2014-10-17,PLN,3.3002
1.0,USD,2014-10-17,RON,3.4465
1.0,USD,2014-10-17,RUB,40.795
1.0,USD,2014-10-17,SEK,7.1381
1.0,USD,2014-10-17,SGD,1.2732
1.0,USD,2014-10-17,THB,32.38
1.0,USD,2014-10-17,TRY,2.2473
1.0,USD,2014-10-17,ZAR,11.077
