amount,base_currency,date,currency,exchange_rate
1.0,USD,2015-03-27,AUD,1.2841
1.0,USD,2015-03-27,BGN,1.8016
1.0,USD,2015-03-27,BRL,3.2098
1.0,USD,2015-03-27,CAD,1.2509
1.0,USD,2015-03-27,CHF,0.965
1.0,USD,2015-03-27,CNY,6.2157
1.0,USD,2015-03-27,CZK,25.353
1.0,USD,2015-03-27,DKK,6.8784
1.0,USD,2015-03-27,EUR,0.92115
1.0,USD,2015-03-27,GBP,0.67225
1.0,USD,2015-03-27,HKD,7.7543
1.0,USD,2015-03-27,HRK,7.0468
1.0,USD,2015-03-27,HUF,276.84
1.0,USD,2015-03-27,IDR,13024.0
1.0,USD,2015-03-27,ILS,3.9702
1.0,USD,2015-03-27,INR,62.518
1.0,USD,2015-03-27,JPY,119.19
1.0,USD,2015-03-27,KRW,1104.85
1.0,USD,2015-03-27,MXN,15.1315
1.0,USD,2015-03-27,MYR,3.684
1.0,USD,2015-03-27,NOK,7.9633
1.0,USD,2015-03-27,NZD,1.3211
1.0,USD,2015-03-27,PHP,44.82
1.0,USD,2015-03-27,PLN,3.7747
1.0,USD,2015-03-27,RON,4.0725
1.0,USD,2015-03-27,RUB,57.325
1.0,USD,2015-03-27,SEK,8.5831
1.0,USD,2015-03-27,SGD,1.369
1.0,USD,2015-03-27,THB,32.549
1.0,USD,2015-03-27,TRY,2.607
1.0,USD,2015-03-27,ZAR,12.0214
