amount,base_currency,date,currency,exchange_rate
1.0,USD,2018-11-20,AUD,1.3757
1.0,USD,2018-11-20,BGN,1.7125
1.0,USD,2018-11-20,BRL,3.7579
1.0,USD,2018-11-20,CAD,1.3196
1.0,USD,2018-11-20,CHF,0.99186
1.0,USD,2018-11-20,CNY,6.9433
1.0,USD,2018-11-20,CZK,22.793
1.0,USD,2018-11-20,DKK,6.5342
1.0,USD,2018-11-20,EUR,0.87558
1.0,USD,2018-11-20,GBP,0.77846
1.0,USD,2018-11-20,HKD,7.8316
1.0,USD,2018-11-20,HRK,6.5035
1.0,USD,2018-11-20,HUF,281.28
1.0,USD,2018-11-20,IDR,14598.0
1.0,USD,2018-11-20,ILS,3.719
1.0,USD,2018-11-20,INR,71.491
1.0,USD,2018-11-20,ISK,123.28
1.0,USD,2018-11-20,JPY,112.37
1.0,USD,2018-11-20,KRW,1127.71
1.0,USD,2018-11-20,MXN,20.404
1.0,USD,2018-11-20,MYR,4.1855
1.0,USD,2018-11-20,NOK,8.5049
1.0,USD,2018-11-20,NZD,1.4607
1.0,USD,2018-11-20,PHP,52.411
1.0,USD,2018-11-20,PLN,3.7805
1.0,USD,2018-11-20,RON,4.0866
1.0,USD,2018-11-20,RUB,65.672
1.0,USD,2018-11-20,SEK,9.0301
1.0,USD,2018-11-20,SGD,1.3725
1.0,USD,2018-11-20,THB,32.97
1.0,USD,2018-11-20,TRY,5.3588
1.0,USD,2018-11-20,ZAR,14.0644
