amount,base_currency,date,currency,exchange_rate
1.0,USD,2019-12-02,AUD,1.4733
1.0,USD,2019-12-02,BGN,1.7743
1.0,USD,2019-12-02,BRL,4.2324
1.0,USD,2019-12-02,CAD,1.3296
1.0,USD,2019-12-02,CHF,0.99746
1.0,USD,2019-12-02,CNY,7.0421
1.0,USD,2019-12-02,CZK,23.164
1.0,USD,2019-12-02,DKK,6.7778
1.0,USD,2019-12-02,EUR,0.90719
1.0,USD,2019-12-02,GBP,0.77309
1.0,USD,2019-12-02,HKD,7.8288
1.0,USD,2019-12-02,HRK,6.7477
1.0,USD,2019-12-02,HUF,302.08
1.0,USD,2019-12-02,IDR,14125.0
1.0,USD,2019-12-02,ILS,3.477
1.0,USD,2019-12-02,INR,71.648
1.0,USD,2019-12-02,ISK,122.29
1.0,USD,2019-12-02,JPY,109.54
1.0,USD,2019-12-02,KRW,1185.27
1.0,USD,2019-12-02,MXN,19.5655
1.0,USD,2019-12-02,MYR,4.1795
1.0,USD,2019-12-02,NOK,9.1947
1.0,USD,2019-12-02,NZD,1.544
1.0,USD,2019-12-02,PHP,51.09
1.0,USD,2019-12-02,PLN,3.901
1.0,USD,2019-12-02,RON,4.3358
1.0,USD,2019-12-02,RUB,64.34
1.0,USD,2019-12-02,SEK,9.5605
1.0,USD,2019-12-02,SGD,1.3685
1.0,USD,2019-12-02,THB,30.285
1.0,USD,2019-12-02,TRY,5.7549
1.0,USD,2019-12-02,ZAR,14.6757
