amount,base_currency,date,currency,exchange_rate
1.0,USD,2019-07-22,AUD,1.4188
1.0,USD,2019-07-22,BGN,1.7439
1.0,USD,2019-07-22,BRL,3.7435
1.0,USD,2019-07-22,CAD,1.3076
1.0,USD,2019-07-22,CHF,0.98145
1.0,USD,2019-07-22,CNY,6.8808
1.0,USD,2019-07-22,CZK,22.768
1.0,USD,2019-07-22,DKK,6.6572
1.0,USD,2019-07-22,EUR,0.89166
1.0,USD,2019-07-22,GBP,0.80221
1.0,USD,2019-07-22,HKD,7.8096
1.0,USD,2019-07-22,HRK,6.5872
1.0,USD,2019-07-22,HUF,289.75
1.0,USD,2019-07-22,IDR,13945.0
1.0,USD,2019-07-22,ILS,3.5329
1.0,USD,2019-07-22,INR,68.933
1.0,USD,2019-07-22,ISK,124.74
1.0,USD,2019-07-22,JPY,107.92
1.0,USD,2019-07-22,KRW,1177.3
1.0,USD,2019-07-22,MXN,19.0299
1.0,USD,2019-07-22,MYR,4.113
1.0,USD,2019-07-22,NOK,8.5845
1.0,USD,2019-07-22,NZD,1.4751
1.0,USD,2019-07-22,PHP,51.111
1.0,USD,2019-07-22,PLN,3.7878
1.0,USD,2019-07-22,RON,4.2109
1.0,USD,2019-07-22,RUB,62.998
1.0,USD,2019-07-22,SEK,9.4017
1.0,USD,2019-07-22,SGD,1.3607
1.0,USD,2019-07-22,THB,30.845
1.0,USD,2019-07-22,TRY,5.6819
1.0,USD,2019-07-22,ZAR,13.8923
