amount,base_currency,date,currency,exchange_rate
1.0,USD,2022-02-17,AUD,1.3884
1.0,USD,2022-02-17,BGN,1.7201
1.0,USD,2022-02-17,BRL,5.1447
1.0,USD,2022-02-17,CAD,1.2699
1.0,USD,2022-02-17,CHF,0.92049
1.0,USD,2022-02-17,CNY,6.3377
1.0,USD,2022-02-17,CZK,21.445
1.0,USD,2022-02-17,DKK,6.5434
1.0,USD,2022-02-17,EUR,0.87951
1.0,USD,2022-02-17,GBP,0.73433
1.0,USD,2022-02-17,HKD,7.8005
1.0,USD,2022-02-17,HRK,6.6253
1.0,USD,2022-02-17,HUF,313.18
1.0,USD,2022-02-17,IDR,14329.0
1.0,USD,2022-02-17,ILS,3.1865
1.0,USD,2022-02-17,INR,75.013
1.0,USD,2022-02-17,ISK,124.54
1.0,USD,2022-02-17,JPY,115.07
1.0,USD,2022-02-17,KRW,1196.75
1.0,USD,2022-02-17,MXN,20.261
1.0,USD,2022-02-17,MYR,4.1875
1.0,USD,2022-02-17,NOK,8.9028
1.0,USD,2022-02-17,NZD,1.4908
1.0,USD,2022-02-17,PHP,51.288
1.0,USD,2022-02-17,PLN,3.9635
1.0,USD,2022-02-17,RON,4.3476
1.0,USD,2022-02-17,RUB,75.981
1.0,USD,2022-02-17,SEK,9.3166
1.0,USD,2022-02-17,SGD,1.3437
1.0,USD,2022-02-17,THB,32.135
1.0,USD,2022-02-17,TRY,13.6275
1.0,USD,2022-02-17,ZAR,14.9422
