amount,base_currency,date,currency,exchange_rate
1.0,USD,2024-06-27,AUD,1.5032
1.0,USD,2024-06-27,BGN,1.8285
1.0,USD,2024-06-27,BRL,5.5055
1.0,USD,2024-06-27,CAD,1.3694
1.0,USD,2024-06-27,CHF,0.89791
1.0,USD,2024-06-27,CNY,7.2686
1.0,USD,2024-06-27,CZK,23.311
1.0,USD,2024-06-27,DKK,6.973
1.0,USD,2024-06-27,EUR,0.93493
1.0,USD,2024-06-27,GBP,0.79086
1.0,USD,2024-06-27,HKD,7.8086
1.0,USD,2024-06-27,HUF,371.8
1.0,USD,2024-06-27,IDR,16389.0
1.0,USD,2024-06-27,ILS,3.7557
1.0,USD,2024-06-27,INR,83.43
1.0,USD,2024-06-27,ISK,139.21
1.0,USD,2024-06-27,JPY,160.49
1.0,USD,2024-06-27,KRW,1386.23
1.0,USD,2024-06-27,MXN,18.3975
1.0,USD,2024-06-27,MYR,4.7195
1.0,USD,2024-06-27,NOK,10.6563
1.0,USD,2024-06-27,NZD,1.6401
1.0,USD,2024-06-27,PHP,58.625
1.0,USD,2024-06-27,PLN,4.0378
1.0,USD,2024-06-27,RON,4.654
1.0,USD,2024-06-27,SEK,10.6002
1.0,USD,2024-06-27,SGD,1.3574
1.0,USD,2024-06-27,THB,36.83
1.0,USD,2024-06-27,TRY,32.883
1.0,USD,2024-06-27,ZAR,18.3815
