amount,base_currency,date,currency,exchange_rate
1.0,USD,2025-09-08,AUD,1.5177
1.0,USD,2025-09-08,BGN,1.6676
1.0,USD,2025-09-08,BRL,5.4059
1.0,USD,2025-09-08,CAD,1.3805
1.0,USD,2025-09-08,CHF,0.79536
1.0,USD,2025-09-08,CNY,7.1299
1.0,USD,2025-09-08,CZK,20.776
1.0,USD,2025-09-08,DKK,6.366
1.0,USD,2025-09-08,EUR,0.85266
1.0,USD,2025-09-08,GBP,0.73917
1.0,USD,2025-09-08,HKD,7.7935
1.0,USD,2025-09-08,HUF,335.59
1.0,USD,2025-09-08,IDR,16526.0
1.0,USD,2025-09-08,ILS,3.327
1.0,USD,2025-09-08,INR,88.04
1.0,USD,2025-09-08,ISK,122.27
1.0,USD,2025-09-08,JPY,147.84
1.0,USD,2025-09-08,KRW,1387.88
1.0,USD,2025-09-08,MXN,18.6596
1.0,USD,2025-09-08,MYR,4.2175
1.0,USD,2025-09-08,NOK,9.9868
1.0,USD,2025-09-08,NZD,1.6849
1.0,USD,2025-09-08,PHP,56.749
1.0,USD,2025-09-08,PLN,3.6234
1.0,USD,2025-09-08,RON,4.3248
1.0,USD,2025-09-08,SEK,9.3797
1.0,USD,2025-09-08,SGD,1.2843
1.0,USD,2025-09-08,THB,31.775
1.0,USD,2025-09-08,TRY,41.265
1.0,USD,2025-09-08,ZAR,17.5674
